measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Chronic obstructive pulmonary disease,Number,1994,413171.37028750044,476243.41417559836,330178.30431707983
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Chronic obstructive pulmonary disease,Number,1994,536256.2577438969,599874.4689865005,474599.9429783823
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Chronic obstructive pulmonary disease,Number,1994,464652.0769111811,541163.195212906,371407.85428988107
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Chronic obstructive pulmonary disease,Number,1994,851189.4152255435,952475.9754877628,746784.6079416269
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Chronic obstructive pulmonary disease,Number,1994,628049.1437634182,728210.8032134749,495323.13967584865
DALYs (Disability-Adjusted Life Years),Global,Male,45-49 years,Chronic obstructive pulmonary disease,Number,1994,1267075.5916596174,1420974.6254907402,1109365.2323499573
DALYs (Disability-Adjusted Life Years),Global,Female,45-49 years,Chronic obstructive pulmonary disease,Number,1994,895185.4665517929,1032410.8313159841,701182.21619554
DALYs (Disability-Adjusted Life Years),Global,Male,50-54 years,Chronic obstructive pulmonary disease,Number,1994,2120942.1704993797,2356065.2180033457,1812083.0695219974
DALYs (Disability-Adjusted Life Years),Global,Female,50-54 years,Chronic obstructive pulmonary disease,Number,1994,1333540.872827581,1547744.390470173,1013805.0005046122
DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic obstructive pulmonary disease,Number,1994,3233860.6017216383,3549007.6961269793,2782365.046666849
DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic obstructive pulmonary disease,Number,1994,1884773.352775023,2179572.234461286,1460208.3665625984
DALYs (Disability-Adjusted Life Years),Global,Male,60-64 years,Chronic obstructive pulmonary disease,Number,1994,4984950.63319566,5433294.079475566,4233830.687544201
DALYs (Disability-Adjusted Life Years),Global,Female,60-64 years,Chronic obstructive pulmonary disease,Number,1994,2928795.3209607713,3317041.154434477,2235969.531369719
DALYs (Disability-Adjusted Life Years),Global,Male,65-69 years,Chronic obstructive pulmonary disease,Number,1994,5856896.326363295,6351229.323072453,5082140.44627957
DALYs (Disability-Adjusted Life Years),Global,Female,65-69 years,Chronic obstructive pulmonary disease,Number,1994,3666055.6877573226,4090587.903051291,2890018.981663615
DALYs (Disability-Adjusted Life Years),Global,Male,70-74 years,Chronic obstructive pulmonary disease,Number,1994,6135553.667549644,6657504.17870885,5347960.255194382
DALYs (Disability-Adjusted Life Years),Global,Female,70-74 years,Chronic obstructive pulmonary disease,Number,1994,4458042.569606225,4960600.313571371,3408784.545370338
DALYs (Disability-Adjusted Life Years),Global,Male,75-79 years,Chronic obstructive pulmonary disease,Number,1994,4656320.3457746785,5013843.874681673,4107343.754340631
DALYs (Disability-Adjusted Life Years),Global,Female,75-79 years,Chronic obstructive pulmonary disease,Number,1994,3921077.744153074,4338496.892076468,2987706.534453676
DALYs (Disability-Adjusted Life Years),Global,Male,80-84,Chronic obstructive pulmonary disease,Number,1994,3113856.3327901666,3340923.825755635,2759654.122161069
DALYs (Disability-Adjusted Life Years),Global,Female,80-84,Chronic obstructive pulmonary disease,Number,1994,3037692.012708995,3340150.1368049257,2438857.5901299156
DALYs (Disability-Adjusted Life Years),Global,Male,85-89,Chronic obstructive pulmonary disease,Number,1994,1325157.1531715926,1411070.2535188128,1182644.5337010392
DALYs (Disability-Adjusted Life Years),Global,Female,85-89,Chronic obstructive pulmonary disease,Number,1994,1556424.261708486,1713579.1855684377,1254003.812578193
DALYs (Disability-Adjusted Life Years),Global,Male,90-94,Chronic obstructive pulmonary disease,Number,1994,300409.863640402,322012.6082543113,261719.58198111178
DALYs (Disability-Adjusted Life Years),Global,Female,90-94,Chronic obstructive pulmonary disease,Number,1994,491641.83936923894,543386.1474386131,399813.6445409336
DALYs (Disability-Adjusted Life Years),Global,Male,95+ years,Chronic obstructive pulmonary disease,Number,1994,50297.83649887247,54811.34455879199,43133.03882649579
DALYs (Disability-Adjusted Life Years),Global,Female,95+ years,Chronic obstructive pulmonary disease,Number,1994,107160.56787187139,119640.29307088199,86443.53676819502
DALYs (Disability-Adjusted Life Years),Global,Male,0-6 days,Chronic obstructive pulmonary disease,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,0-6 days,Chronic obstructive pulmonary disease,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,7-27 days,Chronic obstructive pulmonary disease,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Female,7-27 days,Chronic obstructive pulmonary disease,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Male,28-364 days,Chronic obstructive pulmonary disease,Number,1991,604.5975024398181,749.1961233398554,436.8982692751101
DALYs (Disability-Adjusted Life Years),Global,Female,28-364 days,Chronic obstructive pulmonary disease,Number,1991,681.4269384723599,844.4395312744291,501.74676186655967
DALYs (Disability-Adjusted Life Years),Global,Male,1-4 years,Chronic obstructive pulmonary disease,Number,1991,160462.45716273403,354699.13080259354,114033.85415074887
DALYs (Disability-Adjusted Life Years),Global,Female,1-4 years,Chronic obstructive pulmonary disease,Number,1991,196633.7597794206,340341.0631804112,66041.03824845722
DALYs (Disability-Adjusted Life Years),Global,Male,5-9 years,Chronic obstructive pulmonary disease,Number,1991,84540.35994453079,101033.90654993974,71643.37366443043
DALYs (Disability-Adjusted Life Years),Global,Female,5-9 years,Chronic obstructive pulmonary disease,Number,1991,83921.69103123898,104027.65061110105,61741.18162911693
DALYs (Disability-Adjusted Life Years),Global,Male,10-14 years,Chronic obstructive pulmonary disease,Number,1991,89113.87386719561,103018.82934761101,75026.97601288848
DALYs (Disability-Adjusted Life Years),Global,Female,10-14 years,Chronic obstructive pulmonary disease,Number,1991,93649.5986146747,109646.5529863307,77536.45264344147
DALYs (Disability-Adjusted Life Years),Global,Male,15-19 years,Chronic obstructive pulmonary disease,Number,1991,199875.8862646452,228922.1140787761,172213.30776043073
DALYs (Disability-Adjusted Life Years),Global,Female,15-19 years,Chronic obstructive pulmonary disease,Number,1991,188027.28338136175,221737.98707317867,148814.8935158662
DALYs (Disability-Adjusted Life Years),Global,Male,20-24 years,Chronic obstructive pulmonary disease,Number,1991,275726.9681898367,310166.9312404994,239459.78263169862
DALYs (Disability-Adjusted Life Years),Global,Female,20-24 years,Chronic obstructive pulmonary disease,Number,1991,264478.6156223478,309851.92674728093,209453.14631144018
DALYs (Disability-Adjusted Life Years),Global,Male,25-29 years,Chronic obstructive pulmonary disease,Number,1991,317787.2831645168,357863.0303860124,276145.4500236267
DALYs (Disability-Adjusted Life Years),Global,Female,25-29 years,Chronic obstructive pulmonary disease,Number,1991,321149.3832590963,373694.7926109068,255916.85571660363
DALYs (Disability-Adjusted Life Years),Global,Male,30-34 years,Chronic obstructive pulmonary disease,Number,1991,390631.24871977995,439292.1873213971,341879.64090486336
DALYs (Disability-Adjusted Life Years),Global,Female,30-34 years,Chronic obstructive pulmonary disease,Number,1991,363754.54782396456,421594.2211734711,292915.045698788
DALYs (Disability-Adjusted Life Years),Global,Male,35-39 years,Chronic obstructive pulmonary disease,Number,1991,528786.9145905954,596753.5868477328,460868.95984209643
DALYs (Disability-Adjusted Life Years),Global,Female,35-39 years,Chronic obstructive pulmonary disease,Number,1991,474140.5534358528,556689.3884338995,369423.76789917436
DALYs (Disability-Adjusted Life Years),Global,Male,40-44 years,Chronic obstructive pulmonary disease,Number,1991,782352.3550557399,887639.3897993803,674093.9312661526
DALYs (Disability-Adjusted Life Years),Global,Female,40-44 years,Chronic obstructive pulmonary disease,Number,1991,571865.0089564258,670104.1203049544,446574.14105339453
DALYs (Disability-Adjusted Life Years),Global,Male,45-49 years,Chronic obstructive pulmonary disease,Number,1991,1183061.0559627346,1340565.4486692194,1012428.2656470052
DALYs (Disability-Adjusted Life Years),Global,Female,45-49 years,Chronic obstructive pulmonary disease,Number,1991,798079.7808701679,931340.5036078191,632900.0090256468
DALYs (Disability-Adjusted Life Years),Global,Male,50-54 years,Chronic obstructive pulmonary disease,Number,1991,2174759.103548979,2441224.62830229,1832767.841395522
DALYs (Disability-Adjusted Life Years),Global,Female,50-54 years,Chronic obstructive pulmonary disease,Number,1991,1347580.3040729687,1575951.1770694123,1013160.8491599347
DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic obstructive pulmonary disease,Number,1991,3238092.128228012,3604416.6274669725,2678661.555680889
DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic obstructive pulmonary disease,Number,1991,1926754.0735420107,2236839.339662975,1454671.004128166
DALYs (Disability-Adjusted Life Years),Global,Male,60-64 years,Chronic obstructive pulmonary disease,Number,1991,4962019.785861022,5500455.350116261,4165161.647297968
DALYs (Disability-Adjusted Life Years),Global,Female,60-64 years,Chronic obstructive pulmonary disease,Number,1991,2885824.6796133774,3297462.4802450454,2170334.3179593515
DALYs (Disability-Adjusted Life Years),Global,Male,65-69 years,Chronic obstructive pulmonary disease,Number,1991,5447725.591398949,5985146.846451207,4606805.270847134
DALYs (Disability-Adjusted Life Years),Global,Female,65-69 years,Chronic obstructive pulmonary disease,Number,1991,3553444.460289366,3982604.202981431,2769336.28206144
DALYs (Disability-Adjusted Life Years),Global,Male,70-74 years,Chronic obstructive pulmonary disease,Number,1991,5654878.01235485,6232425.183995209,4829083.400579381
DALYs (Disability-Adjusted Life Years),Global,Female,70-74 years,Chronic obstructive pulmonary disease,Number,1991,4219411.482743423,4720311.187086158,3201916.5581254014
DALYs (Disability-Adjusted Life Years),Global,Male,75-79 years,Chronic obstructive pulmonary disease,Number,1991,4510439.939958597,4890358.510767757,4003766.3828043323
DALYs (Disability-Adjusted Life Years),Global,Female,75-79 years,Chronic obstructive pulmonary disease,Number,1991,3829170.94087005,4242050.812431623,2948242.841534155
DALYs (Disability-Adjusted Life Years),Global,Male,80-84,Chronic obstructive pulmonary disease,Number,1991,2891286.1480630925,3125052.5698831514,2562036.857970377
DALYs (Disability-Adjusted Life Years),Global,Female,80-84,Chronic obstructive pulmonary disease,Number,1991,2881991.7336174655,3198237.3034060365,2368480.289520271
DALYs (Disability-Adjusted Life Years),Global,Male,85-89,Chronic obstructive pulmonary disease,Number,1991,1165500.8839029463,1249601.2684416056,1036500.5228068407
DALYs (Disability-Adjusted Life Years),Global,Female,85-89,Chronic obstructive pulmonary disease,Number,1991,1388926.1447619253,1543187.614185892,1108948.871778196
DALYs (Disability-Adjusted Life Years),Global,Male,90-94,Chronic obstructive pulmonary disease,Number,1991,247933.01391537683,267091.29229571944,216472.15952629194
DALYs (Disability-Adjusted Life Years),Global,Female,90-94,Chronic obstructive pulmonary disease,Number,1991,406167.0875265422,454759.84709447325,332198.1008076225
DALYs (Disability-Adjusted Life Years),Global,Male,95+ years,Chronic obstructive pulmonary disease,Number,1991,43223.70462682525,47222.88916709113,37066.10611960743
