measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Global,Female,40-44 years,Chronic obstructive pulmonary disease,Number,2019,234375.7805933411,295945.08856813214,180306.51351082762
YLLs (Years of Life Lost),Global,Male,45-49 years,Chronic obstructive pulmonary disease,Number,2019,818186.7684764573,942462.8205783999,701386.2112881399
YLLs (Years of Life Lost),Global,Female,45-49 years,Chronic obstructive pulmonary disease,Number,2019,422490.6885312843,532769.2479742721,329279.04392242874
YLLs (Years of Life Lost),Global,Male,50-54 years,Chronic obstructive pulmonary disease,Number,2019,1561003.0665694878,1792160.659181216,1351122.4430496772
YLLs (Years of Life Lost),Global,Female,50-54 years,Chronic obstructive pulmonary disease,Number,2019,865349.0235814756,1057628.961285936,665358.1047346903
YLLs (Years of Life Lost),Global,Male,55-59 years,Chronic obstructive pulmonary disease,Number,2019,2413268.826374298,2761786.506292842,2090960.4009762404
YLLs (Years of Life Lost),Global,Female,55-59 years,Chronic obstructive pulmonary disease,Number,2019,1275851.1083783114,1517558.2734603735,1017953.6285561156
YLLs (Years of Life Lost),Global,Male,60-64 years,Chronic obstructive pulmonary disease,Number,2019,3766176.7823125287,4246859.380882516,3336855.2265728978
YLLs (Years of Life Lost),Global,Female,60-64 years,Chronic obstructive pulmonary disease,Number,2019,2120360.960158395,2489026.195976123,1733882.3633107627
YLLs (Years of Life Lost),Global,Male,65-69 years,Chronic obstructive pulmonary disease,Number,2019,4910412.5731221065,5504086.342567502,4372782.283775157
YLLs (Years of Life Lost),Global,Female,65-69 years,Chronic obstructive pulmonary disease,Number,2019,2866092.8966907393,3304572.7213135343,2381586.872656049
YLLs (Years of Life Lost),Global,Male,70-74 years,Chronic obstructive pulmonary disease,Number,2019,5672491.684813422,6340229.708960142,5071666.246474336
YLLs (Years of Life Lost),Global,Female,70-74 years,Chronic obstructive pulmonary disease,Number,2019,3539505.3672337313,4085710.7738270722,2925347.3861523666
YLLs (Years of Life Lost),Global,Male,75-79 years,Chronic obstructive pulmonary disease,Number,2019,5045108.7973948065,5569305.749334774,4525433.446735203
YLLs (Years of Life Lost),Global,Female,75-79 years,Chronic obstructive pulmonary disease,Number,2019,3383859.4739826764,3861896.5006636865,2789883.437633558
YLLs (Years of Life Lost),Global,Male,80-84,Chronic obstructive pulmonary disease,Number,2019,4236847.784138605,4675307.809601156,3771411.712184665
YLLs (Years of Life Lost),Global,Female,80-84,Chronic obstructive pulmonary disease,Number,2019,3434797.331267997,3951499.1936956057,2765614.1681738487
YLLs (Years of Life Lost),Global,Male,85-89,Chronic obstructive pulmonary disease,Number,2019,2313790.23313126,2540995.9761432917,2049963.8935916433
YLLs (Years of Life Lost),Global,Female,85-89,Chronic obstructive pulmonary disease,Number,2019,1991388.3630660775,2290367.0395166827,1592126.8427471565
YLLs (Years of Life Lost),Global,Male,90-94,Chronic obstructive pulmonary disease,Number,2019,651795.2866874312,718257.415409762,551601.3061488488
YLLs (Years of Life Lost),Global,Female,90-94,Chronic obstructive pulmonary disease,Number,2019,874190.2653349676,1012718.3972473369,678587.0538860953
YLLs (Years of Life Lost),Global,Male,95+ years,Chronic obstructive pulmonary disease,Number,2019,139214.6278403487,154875.05071002335,111177.08981194906
YLLs (Years of Life Lost),Global,Female,95+ years,Chronic obstructive pulmonary disease,Number,2019,277682.2916618982,323047.32115156896,206564.30196328356
YLDs (Years Lived with Disability),Global,Male,0-6 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Female,0-6 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Male,7-27 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Female,7-27 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Male,28-364 days,Chronic obstructive pulmonary disease,Number,2019,597.2751378221075,756.3609617934686,413.57470325318576
YLDs (Years Lived with Disability),Global,Female,28-364 days,Chronic obstructive pulmonary disease,Number,2019,680.2154764344465,854.2120045713515,483.8405539141886
YLDs (Years Lived with Disability),Global,Male,1-4 years,Chronic obstructive pulmonary disease,Number,2019,14635.858657235542,18507.213266778406,10542.494988783465
YLDs (Years Lived with Disability),Global,Female,1-4 years,Chronic obstructive pulmonary disease,Number,2019,16747.14521843437,20734.902128565984,12558.8589368146
YLDs (Years Lived with Disability),Global,Male,5-9 years,Chronic obstructive pulmonary disease,Number,2019,44958.18625730094,55045.591217060595,34058.384256792895
YLDs (Years Lived with Disability),Global,Female,5-9 years,Chronic obstructive pulmonary disease,Number,2019,51288.56600258494,61981.84374592966,39576.9883152988
YLDs (Years Lived with Disability),Global,Male,10-14 years,Chronic obstructive pulmonary disease,Number,2019,73911.10502092952,89529.45687836396,57638.0399677784
YLDs (Years Lived with Disability),Global,Female,10-14 years,Chronic obstructive pulmonary disease,Number,2019,82979.66001105768,99147.07689617129,65831.6839458054
YLDs (Years Lived with Disability),Global,Male,15-19 years,Chronic obstructive pulmonary disease,Number,2019,105086.069544274,125271.32544355407,83924.18208190003
YLDs (Years Lived with Disability),Global,Female,15-19 years,Chronic obstructive pulmonary disease,Number,2019,117498.75708513985,139675.53070468185,94432.80628961093
YLDs (Years Lived with Disability),Global,Male,20-24 years,Chronic obstructive pulmonary disease,Number,2019,154099.23316009462,182885.94306811746,124521.08015336316
YLDs (Years Lived with Disability),Global,Female,20-24 years,Chronic obstructive pulmonary disease,Number,2019,174652.7838069102,205404.9720451372,139815.29733471657
YLDs (Years Lived with Disability),Global,Male,25-29 years,Chronic obstructive pulmonary disease,Number,2019,204919.89102608943,241871.5252579025,164807.64541406903
YLDs (Years Lived with Disability),Global,Female,25-29 years,Chronic obstructive pulmonary disease,Number,2019,236706.90007498133,278324.9712417912,188882.454496949
YLDs (Years Lived with Disability),Global,Male,30-34 years,Chronic obstructive pulmonary disease,Number,2019,251950.6331751383,298643.57089315564,203401.53685752174
YLDs (Years Lived with Disability),Global,Female,30-34 years,Chronic obstructive pulmonary disease,Number,2019,290353.29454229167,346712.82304825436,229595.98081280108
YLDs (Years Lived with Disability),Global,Male,35-39 years,Chronic obstructive pulmonary disease,Number,2019,275396.02119118045,325523.89268770604,223293.25418781067
YLDs (Years Lived with Disability),Global,Female,35-39 years,Chronic obstructive pulmonary disease,Number,2019,310766.8893021052,369323.27574833407,242806.5006888199
YLDs (Years Lived with Disability),Global,Male,40-44 years,Chronic obstructive pulmonary disease,Number,2019,331200.3681448469,390181.0962800876,269547.1192240498
YLDs (Years Lived with Disability),Global,Female,40-44 years,Chronic obstructive pulmonary disease,Number,2019,361265.1003540529,424834.10867951385,290241.0731027274
YLDs (Years Lived with Disability),Global,Male,45-49 years,Chronic obstructive pulmonary disease,Number,2019,534042.0765554489,643817.5444365822,423410.07819207053
YLDs (Years Lived with Disability),Global,Female,45-49 years,Chronic obstructive pulmonary disease,Number,2019,549107.0975371053,656374.1621785847,439226.93856346246
YLDs (Years Lived with Disability),Global,Male,50-54 years,Chronic obstructive pulmonary disease,Number,2019,752992.6213772031,904829.4951974028,596602.0456597942
YLDs (Years Lived with Disability),Global,Female,50-54 years,Chronic obstructive pulmonary disease,Number,2019,768635.2586389474,917623.3746380795,618853.4360586714
YLDs (Years Lived with Disability),Global,Male,55-59 years,Chronic obstructive pulmonary disease,Number,2019,876709.0805646324,1043532.411354556,703625.6251341577
YLDs (Years Lived with Disability),Global,Female,55-59 years,Chronic obstructive pulmonary disease,Number,2019,897013.3896801303,1065678.9162382386,722315.4824521932
YLDs (Years Lived with Disability),Global,Male,60-64 years,Chronic obstructive pulmonary disease,Number,2019,984457.611071654,1152605.6807794797,799203.5400790111
YLDs (Years Lived with Disability),Global,Female,60-64 years,Chronic obstructive pulmonary disease,Number,2019,1022596.9147809009,1210512.3943632406,836469.6911813358
YLDs (Years Lived with Disability),Global,Male,65-69 years,Chronic obstructive pulmonary disease,Number,2019,1160601.4782390571,1372073.2802298502,944036.97270015
YLDs (Years Lived with Disability),Global,Female,65-69 years,Chronic obstructive pulmonary disease,Number,2019,1249682.5928457151,1493502.7096538628,1015636.582356497
YLDs (Years Lived with Disability),Global,Male,70-74 years,Chronic obstructive pulmonary disease,Number,2019,1157360.520366246,1364768.2395779954,932480.5990032564
YLDs (Years Lived with Disability),Global,Female,70-74 years,Chronic obstructive pulmonary disease,Number,2019,1253584.5348518365,1475211.0736675952,1015856.017694545
YLDs (Years Lived with Disability),Global,Male,75-79 years,Chronic obstructive pulmonary disease,Number,2019,987119.6759629674,1163940.5644410593,781495.5252444365
YLDs (Years Lived with Disability),Global,Female,75-79 years,Chronic obstructive pulmonary disease,Number,2019,1131973.8386213246,1335311.6945187435,909899.0685449775
YLDs (Years Lived with Disability),Global,Male,80-84,Chronic obstructive pulmonary disease,Number,2019,745276.0011464917,869254.3207822472,589629.817032106
YLDs (Years Lived with Disability),Global,Female,80-84,Chronic obstructive pulmonary disease,Number,2019,961463.8580786268,1133847.1777213267,769073.1498646202
YLDs (Years Lived with Disability),Global,Male,85-89,Chronic obstructive pulmonary disease,Number,2019,423143.09733165527,497779.4684096948,336092.6643461753
YLDs (Years Lived with Disability),Global,Female,85-89,Chronic obstructive pulmonary disease,Number,2019,644607.2993098974,761021.6339172943,511723.03052940936
YLDs (Years Lived with Disability),Global,Male,90-94,Chronic obstructive pulmonary disease,Number,2019,166220.0667918971,193379.93276863487,135246.0339767619
YLDs (Years Lived with Disability),Global,Female,90-94,Chronic obstructive pulmonary disease,Number,2019,316869.52964552457,371878.8679838325,253427.58631380668
YLDs (Years Lived with Disability),Global,Male,<28 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Female,<28 days,Chronic obstructive pulmonary disease,Number,2019,0.0,0.0,0.0
YLDs (Years Lived with Disability),Global,Male,95+ years,Chronic obstructive pulmonary disease,Number,2019,45966.21186250264,53995.13161540741,37095.2881046994
YLDs (Years Lived with Disability),Global,Female,95+ years,Chronic obstructive pulmonary disease,Number,2019,108352.01849565357,129619.78415102932,85654.82434356825
